Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Jalen Cropper (40929540),Jalen Cropper,40929540,WR/FLEX,3000,KC@DAL 11/27/2025 04:30PM ET,DAL,0
WR,Tylan Wallace (40929502),Tylan Wallace,40929502,WR/FLEX,3000,CIN@BAL 11/27/2025 08:20PM ET,BAL,1.32
WR,Devontez Walker (40929504),Devontez Walker,40929504,WR/FLEX,3000,CIN@BAL 11/27/2025 08:20PM ET,BAL,3.57
WR,LaJohntay Wester (40929506),LaJohntay Wester,40929506,WR/FLEX,3000,CIN@BAL 11/27/2025 08:20PM ET,BAL,-0.09
WR,Dayton Wade (40929508),Dayton Wade,40929508,WR/FLEX,3000,CIN@BAL 11/27/2025 08:20PM ET,BAL,0
WR,Cornelius Johnson (40929510),Cornelius Johnson,40929510,WR/FLEX,3000,CIN@BAL 11/27/2025 08:20PM ET,BAL,0
WR,Keith Kirkwood (40929512),Keith Kirkwood,40929512,WR/FLEX,3000,CIN@BAL 11/27/2025 08:20PM ET,BAL,0
WR,Charlie Jones (40929514),Charlie Jones,40929514,WR/FLEX,3000,CIN@BAL 11/27/2025 08:20PM ET,CIN,0.54
WR,Jermaine Burton (40929516),Jermaine Burton,40929516,WR/FLEX,3000,CIN@BAL 11/27/2025 08:20PM ET,CIN,0
WR,Kendric Pryor (40929518),Kendric Pryor,40929518,WR/FLEX,3000,CIN@BAL 11/27/2025 08:20PM ET,CIN,0
WR,Jordan Moore (40929520),Jordan Moore,40929520,WR/FLEX,3000,CIN@BAL 11/27/2025 08:20PM ET,CIN,0
TE,Noah Fant (40929550),Noah Fant,40929550,TE/FLEX,3000,CIN@BAL 11/27/2025 08:20PM ET,CIN,7.35
DST,Ravens  (40929588),Ravens ,40929588,DST,3000,CIN@BAL 11/27/2025 08:20PM ET,BAL,5
DST,Chiefs  (40929589),Chiefs ,40929589,DST,2800,KC@DAL 11/27/2025 04:30PM ET,KC,5.73
TE,Isaiah Likely (40929552),Isaiah Likely,40929552,TE/FLEX,2600,CIN@BAL 11/27/2025 08:20PM ET,BAL,3.22
TE,Noah Gray (40929568),Noah Gray,40929568,TE/FLEX,2500,KC@DAL 11/27/2025 04:30PM ET,KC,2.66
TE,Robert Tonyan (40929570),Robert Tonyan,40929570,TE/FLEX,2500,KC@DAL 11/27/2025 04:30PM ET,KC,0.1
TE,Jared Wiley (40929572),Jared Wiley,40929572,TE/FLEX,2500,KC@DAL 11/27/2025 04:30PM ET,KC,0
TE,Jake Briningstool (40929574),Jake Briningstool,40929574,TE/FLEX,2500,KC@DAL 11/27/2025 04:30PM ET,KC,0
TE,Tre Watson (40929576),Tre Watson,40929576,TE/FLEX,2500,KC@DAL 11/27/2025 04:30PM ET,KC,0
TE,James Winchester (40929578),James Winchester,40929578,TE/FLEX,2500,KC@DAL 11/27/2025 04:30PM ET,KC,0
TE,Luke Schoonmaker (40929580),Luke Schoonmaker,40929580,TE/FLEX,2500,KC@DAL 11/27/2025 04:30PM ET,DAL,1.3
TE,Brevyn Spann-Ford (40929582),Brevyn Spann-Ford,40929582,TE/FLEX,2500,KC@DAL 11/27/2025 04:30PM ET,DAL,1.2
TE,Princeton Fant (40929584),Princeton Fant,40929584,TE/FLEX,2500,KC@DAL 11/27/2025 04:30PM ET,DAL,0
TE,Rivaldo Fairweather (40929586),Rivaldo Fairweather,40929586,TE/FLEX,2500,KC@DAL 11/27/2025 04:30PM ET,DAL,0
TE,Charlie Kolar (40929554),Charlie Kolar,40929554,TE/FLEX,2500,CIN@BAL 11/27/2025 08:20PM ET,BAL,2.53
TE,Scotty Washington (40929556),Scotty Washington,40929556,TE/FLEX,2500,CIN@BAL 11/27/2025 08:20PM ET,BAL,0
TE,Drew Sample (40929558),Drew Sample,40929558,TE/FLEX,2500,CIN@BAL 11/27/2025 08:20PM ET,CIN,1.31
TE,Tanner Hudson (40929560),Tanner Hudson,40929560,TE/FLEX,2500,CIN@BAL 11/27/2025 08:20PM ET,CIN,2.91
TE,Cam Grandy (40929562),Cam Grandy,40929562,TE/FLEX,2500,CIN@BAL 11/27/2025 08:20PM ET,CIN,0.53
TE,Erick All Jr. (40929564),Erick All Jr.,40929564,TE/FLEX,2500,CIN@BAL 11/27/2025 08:20PM ET,CIN,0
TE,William Wagner (40929566),William Wagner,40929566,TE/FLEX,2500,CIN@BAL 11/27/2025 08:20PM ET,CIN,0
DST,Cowboys  (40929590),Cowboys ,40929590,DST,2400,KC@DAL 11/27/2025 04:30PM ET,DAL,4.82
DST,Bengals  (40929591),Bengals ,40929591,DST,2200,CIN@BAL 11/27/2025 08:20PM ET,CIN,3
