Roster Position,Player Name,Position,Team,Salary,Avg Points Per Game
CPT,Miles Sanders,RB,DAL,300,6.92
FLEX,Patrick Mahomes,QB,KC,10600,22.72
FLEX,Dak Prescott,QB,DAL,10400,21.57
FLEX,George Pickens,WR,DAL,9600,21.13
FLEX,Rashee Rice,WR,KC,10000,20.84
FLEX,Javonte Williams,RB,DAL,8400,16.94
TOTAL,,,,49300,110.11999999999999
