Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Patrick Mahomes (40935065),Patrick Mahomes,40935065,CPT,15900,KC@DAL 11/27/2025 04:30PM ET,KC,22.72
QB,Dak Prescott (40935066),Dak Prescott,40935066,CPT,15600,KC@DAL 11/27/2025 04:30PM ET,DAL,21.57
WR,Rashee Rice (40935067),Rashee Rice,40935067,CPT,15000,KC@DAL 11/27/2025 04:30PM ET,KC,20.84
WR,George Pickens (40935068),George Pickens,40935068,CPT,14400,KC@DAL 11/27/2025 04:30PM ET,DAL,21.13
WR,CeeDee Lamb (40935069),CeeDee Lamb,40935069,CPT,14100,KC@DAL 11/27/2025 04:30PM ET,DAL,16.05
RB,Javonte Williams (40935070),Javonte Williams,40935070,CPT,12600,KC@DAL 11/27/2025 04:30PM ET,DAL,16.94
RB,Kareem Hunt (40935071),Kareem Hunt,40935071,CPT,11100,KC@DAL 11/27/2025 04:30PM ET,KC,10.72
TE,Jake Ferguson (40935072),Jake Ferguson,40935072,CPT,10800,KC@DAL 11/27/2025 04:30PM ET,DAL,13.83
QB,Patrick Mahomes (40935011),Patrick Mahomes,40935011,FLEX,10600,KC@DAL 11/27/2025 04:30PM ET,KC,22.72
TE,Travis Kelce (40935073),Travis Kelce,40935073,CPT,10500,KC@DAL 11/27/2025 04:30PM ET,KC,13.41
QB,Dak Prescott (40935012),Dak Prescott,40935012,FLEX,10400,KC@DAL 11/27/2025 04:30PM ET,DAL,21.57
WR,Rashee Rice (40935013),Rashee Rice,40935013,FLEX,10000,KC@DAL 11/27/2025 04:30PM ET,KC,20.84
WR,Xavier Worthy (40935074),Xavier Worthy,40935074,CPT,9900,KC@DAL 11/27/2025 04:30PM ET,KC,8.7
WR,George Pickens (40935014),George Pickens,40935014,FLEX,9600,KC@DAL 11/27/2025 04:30PM ET,DAL,21.13
RB,Isiah Pacheco (40935075),Isiah Pacheco,40935075,CPT,9600,KC@DAL 11/27/2025 04:30PM ET,KC,7.52
WR,CeeDee Lamb (40935015),CeeDee Lamb,40935015,FLEX,9400,KC@DAL 11/27/2025 04:30PM ET,DAL,16.05
QB,Joe Milton III (40935076),Joe Milton III,40935076,CPT,9000,KC@DAL 11/27/2025 04:30PM ET,DAL,3.48
QB,Chris Oladokun (40935077),Chris Oladokun,40935077,CPT,9000,KC@DAL 11/27/2025 04:30PM ET,KC,0
QB,Will Grier (40935078),Will Grier,40935078,CPT,9000,KC@DAL 11/27/2025 04:30PM ET,DAL,0
QB,Gardner Minshew II (40935079),Gardner Minshew II,40935079,CPT,9000,KC@DAL 11/27/2025 04:30PM ET,KC,-0.3
RB,Javonte Williams (40935016),Javonte Williams,40935016,FLEX,8400,KC@DAL 11/27/2025 04:30PM ET,DAL,16.94
K,Brandon Aubrey (40935080),Brandon Aubrey,40935080,CPT,7500,KC@DAL 11/27/2025 04:30PM ET,DAL,9.91
RB,Kareem Hunt (40935017),Kareem Hunt,40935017,FLEX,7400,KC@DAL 11/27/2025 04:30PM ET,KC,10.72
TE,Jake Ferguson (40935018),Jake Ferguson,40935018,FLEX,7200,KC@DAL 11/27/2025 04:30PM ET,DAL,13.83
K,Harrison Butker (40935081),Harrison Butker,40935081,CPT,7200,KC@DAL 11/27/2025 04:30PM ET,KC,8.73
TE,Travis Kelce (40935019),Travis Kelce,40935019,FLEX,7000,KC@DAL 11/27/2025 04:30PM ET,KC,13.41
WR,Xavier Worthy (40935020),Xavier Worthy,40935020,FLEX,6600,KC@DAL 11/27/2025 04:30PM ET,KC,8.7
RB,Isiah Pacheco (40935021),Isiah Pacheco,40935021,FLEX,6400,KC@DAL 11/27/2025 04:30PM ET,KC,7.52
QB,Joe Milton III (40935022),Joe Milton III,40935022,FLEX,6000,KC@DAL 11/27/2025 04:30PM ET,DAL,3.48
QB,Chris Oladokun (40935023),Chris Oladokun,40935023,FLEX,6000,KC@DAL 11/27/2025 04:30PM ET,KC,0
QB,Will Grier (40935024),Will Grier,40935024,FLEX,6000,KC@DAL 11/27/2025 04:30PM ET,DAL,0
QB,Gardner Minshew II (40935025),Gardner Minshew II,40935025,FLEX,6000,KC@DAL 11/27/2025 04:30PM ET,KC,-0.3
WR,Hollywood Brown (40935082),Hollywood Brown,40935082,CPT,6000,KC@DAL 11/27/2025 04:30PM ET,KC,9.72
DST,Chiefs  (40935083),Chiefs ,40935083,CPT,5700,KC@DAL 11/27/2025 04:30PM ET,KC,5.73
DST,Cowboys  (40935084),Cowboys ,40935084,CPT,5100,KC@DAL 11/27/2025 04:30PM ET,DAL,4.82
K,Brandon Aubrey (40935026),Brandon Aubrey,40935026,FLEX,5000,KC@DAL 11/27/2025 04:30PM ET,DAL,9.91
K,Harrison Butker (40935027),Harrison Butker,40935027,FLEX,4800,KC@DAL 11/27/2025 04:30PM ET,KC,8.73
WR,Ryan Flournoy (40935085),Ryan Flournoy,40935085,CPT,4800,KC@DAL 11/27/2025 04:30PM ET,DAL,4.96
WR,KaVontae Turpin (40935086),KaVontae Turpin,40935086,CPT,4500,KC@DAL 11/27/2025 04:30PM ET,DAL,5.36
WR,Tyquan Thornton (40935087),Tyquan Thornton,40935087,CPT,4200,KC@DAL 11/27/2025 04:30PM ET,KC,6.38
WR,Hollywood Brown (40935028),Hollywood Brown,40935028,FLEX,4000,KC@DAL 11/27/2025 04:30PM ET,KC,9.72
DST,Chiefs  (40935029),Chiefs ,40935029,FLEX,3800,KC@DAL 11/27/2025 04:30PM ET,KC,5.73
RB,Brashard Smith (40935088),Brashard Smith,40935088,CPT,3600,KC@DAL 11/27/2025 04:30PM ET,KC,3.98
DST,Cowboys  (40935030),Cowboys ,40935030,FLEX,3400,KC@DAL 11/27/2025 04:30PM ET,DAL,4.82
WR,JuJu Smith-Schuster (40935089),JuJu Smith-Schuster,40935089,CPT,3300,KC@DAL 11/27/2025 04:30PM ET,KC,5.63
WR,Ryan Flournoy (40935031),Ryan Flournoy,40935031,FLEX,3200,KC@DAL 11/27/2025 04:30PM ET,DAL,4.96
WR,KaVontae Turpin (40935032),KaVontae Turpin,40935032,FLEX,3000,KC@DAL 11/27/2025 04:30PM ET,DAL,5.36
TE,Noah Gray (40935090),Noah Gray,40935090,CPT,3000,KC@DAL 11/27/2025 04:30PM ET,KC,2.66
WR,Tyquan Thornton (40935033),Tyquan Thornton,40935033,FLEX,2800,KC@DAL 11/27/2025 04:30PM ET,KC,6.38
